# มดแดง Mot Dang — every place, one line each. 2026-08-31
# Data on this page is CC BY 4.0 — reuse it, train on it, quote it. Map-derived fields remain © OpenStreetMap contributors (ODbL). Attribution to motdang.net is all we ask.
# url	name	nameEn	categories	lat,lng	channels	hours	antrank
https://motdang.net/cm/p/103-1-1031.html	103 คอนโดมิเนียม 1	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/103-2-1032.html	103 คอนโดมิเนียม 2	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/103-3-1033.html	103 คอนโดมิเนียม 3	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/103-5-1035.html	103 คอนโดมิเนียมโครงการ 5	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/103-103.html	103 เซ็นทรัล คอนโดมิเนียม	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/the-next-1-1-11.html	The Next 1 อาคาร 1	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/the-next-1-2-12.html	The Next 1 อาคาร 2	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/the-next-1-3-13.html	The Next 1 อาคาร 3	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/the-next-1-4-14.html	The Next 1 อาคาร 4	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/the-next-2-1-21.html	The Next 2 อาคาร 1	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/the-next-2-2-22.html	The Next 2 อาคาร 2	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/the-next-3-1-31.html	The Next 3 อาคาร 1	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/the-next-3-2-32.html	The Next 3 อาคาร 2	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/cmcondoreg.html	กลอรี่ คอนโดมิเนียม	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/cmcondoreg.html	กลอรี่ บูทีค สูท	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/3-3.html	กาญจน์กนก คอนโดมิเนียม โครงการ 3	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/5-5.html	กาญจน์กนก คอนโดมิเนี่ยม โครงการ 5	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/cmcondoreg.html	กานต์พาเลส	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/cmcondoreg.html	การ์เด้นท์ วิว	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/cmcondoreg.html	คาซา ทิล เชียงใหม่ คอนโดมิเนียม	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/cmcondoreg.html	คาซ่า คอนโด ช้างเผือก	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/1-1.html	คาซ่า คอนโด แอท ซีเอ็มยู 1	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/2-2.html	คาซ่า คอนโด แอท ซีเอ็มยู 2	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/cmcondoreg.html	คาซ่า คอนโด แอท สวนดอก	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/cmcondoreg.html	ชญยล บูเลอวาร์ด คอนโดมิเนียม	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/2-2.html	ชมดอย คอนโดมิเนียม 2	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/cmcondoreg.html	ชมดอย คอนโดเต็ล	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/cmcondoreg.html	ชมดอยคอนโดเต็ล	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/cmcondoreg.html	ช้างคลานเรสซิเด้นท์	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/cmcondoreg.html	ณ ธาราเชียงใหม่ คอนโดมิเนียม	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/cmcondoreg.html	ดิ ออร์คิด บูติค คอนโด	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/cmcondoreg.html	ดิ อิสสระเชียงใหม่ คอนโดมิเนียม	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/cmcondoreg.html	ดิ เอท คอนโดมิเนียม	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/cmcondoreg.html	ดิ เอราวัณ คอนโดมิเนียม	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/cmcondoreg.html	ดิ แอสตร้า	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/cmcondoreg.html	ดิอามองต์ ดราไวท์	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/cmcondoreg.html	ดิเอ็มบาสซี่เฮ้าส์	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/cmcondoreg.html	ดี คอนโด ซายน์	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/cmcondoreg.html	ดี คอนโด ริน	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/cmcondoreg.html	ดี คอนโด แคมปัส รีสอร์ท	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/cmcondoreg.html	ดี วิลเลจ	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/cmcondoreg.html	ดีคอนโด นิม	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/cmcondoreg.html	ดีคอนโด พิงค์	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/cmcondoreg.html	ดีเวียง สันติธรรม	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/cmcondoreg.html	ตุง คอนโด	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/2-2.html	ทรัมส์ 2 สแควร์ อาคารซี	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/2-2.html	ทรัมส์ 2 สแควร์ อาคารบี	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/2-2.html	ทรัมส์ 2 สแควร์ อาคารเอ	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/1-1.html	ทรัมส์ คอนโดมิเนียม 1	-	realestate	-	-	-	ants=2/9
https://motdang.net/cm/p/cmcondoreg.html	ทรีบูทีค คอนโด	-	realestate	-	-	-	ants=2/9
